premise_code
20695
18105
11564
17938
17152
3003
435
529
11518
10720
3587
22049
22048
22057
22058
22059
18340
21226
3588
527
2758
2661
21958
21956
22050
22052
22027
11546
22055
22054
2626
22056
22053
15714
11547
2623
3211
